id,tieude,dientich,khuvuc
,"Bán biệt thự có sổ hồng, giá siêu rẻ An Vượng Villa - KĐT Dương Nội - Hà Đông",225 m²,"Quận Hà Đông, Hà Nội"
,"Cần bán nhà 33m2, 2 lầu đúc 2PN, Đặng Văn Ngữ Q.Phú Nhuận, giá 4,4 tỷ",33 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,Bán nhà phố cấp 4 quận Gò Vấp 72m2,72 m²,"Quận Gò Vấp, Hồ Chí Minh"
,Bán Nhà Lạc Long Quân - Tây Hồ - Ô Tô Vào Nhà - KD - 75m2 - 12.9 Tỷ.,75 m²,"Quận Tây Hồ, Hà Nội"
,Nhà mới Tân Bình - pháp lý chuẩn - sổ nở hậu - chủ cần bán.,33 m²,"Quận Tân Bình, Hồ Chí Minh"
,Bán Đất nền F0 Star New City,100 m²,"Trảng Bom, Đồng Nai"
,"King Palace mở bán đợt cuối, Ck14%, tặng gói nội thất 100tr, giá căn 3Pn Đông Nam còn 4,8 tỷ",125 m²,"Quận Thanh Xuân, Hà Nội"
,"Chủ VỠ NỢ Bán gấp nhà 4 Tầng, HXH Đường Nguyễn Oanh. Giá chỉ 4,9 tỷ",75 m²,"Quận Gò Vấp, Hồ Chí Minh"
,"Bán nhà 1trệt 2lầu đường nhựa 7m ở phú hữu quận 9. Giá 3,8tỷ",65 m²,"Quận 9, Hồ Chí Minh"
,"Bán gấp giá rẻ nhà trung tâm Thủ Dầu Một, 2 PN, đường 6m, Hẻm 122 Nguyễn Thị Minh Khai, 0975567505",100 m²,"Thành phố Thủ Dầu Một, Bình Dương"
,"Nhà đẹp, đúc kiên cố 1 trệt 2 lầu, 1 sẹc Tân Kỳ Tân Quý, P, Tân Sơn Nhì , Quân Tân Phú",48 m²,"Quận Tân Phú, Hồ Chí Minh"
,"50 suất nội bộ Roxana Plaza chỉ 399tr 2PN, quý 02/2021 nhận nhà, NH hỗ trợ vay 70%. LH:0936829839",56.4 m²,"Thị xã Thuận An, Bình Dương"
,"Bán đất Lãm Trại, Vân Dương, Bắc Ninh gần khu công nghiệp Quế Võ 1",95 m²,"Thành phố Bắc Ninh, Bắc Ninh"
,Đất nền nhà vườn 70 DamBri - Bảo Lộc,500 m²,"Thị Xã Bảo Lộc, Lâm Đồng"
,"cơ hội nhận ưu đãi lớn,chiết khấu đến 40tr/nền cho khách cọc trong tuần.",100 m²,"Huyện Thống Nhất, Đồng Nai"
,Bán Đất Sào Tại Bình Dương Để Lo Việc Gia Đình,1000 m²,"Huyện Dầu Tiếng, Bình Dương"
," BÁN LÔ BIỆT THỰ ĐẸP NHẤT PHỐ TRẦN QUANG KHẢI - TP BẮC GIANG - LÔ GÓC - DT 262 M2 - GIÁ CHỈ 4,4 TỶ",262 m²,"Bắc Giang, Bắc Giang"
,♨️♨♨CƠ HỘI VÀNG SỞ HỮU CĂN HỘ CAO CẤP VIEW SÔNG GIÁ TỐT CHƯA TỪNG CÓ.♨️♨️♨️,80.29 m²,"Quận 2, Hồ Chí Minh"
,BÁN CHUYỂN NHƯỢNG LK 3.15 DỰ ÁN HẢI QUÂN TAM GIANG KHI VSIP TRIỂN KHAI SẼ TĂNG GIÁ CỰC NHANH,104 m²,"Huyện Yên Phong, Bắc Ninh"
,"Chính chủ bán nhà ngõ 125 Bùi Xương Trạch oto vào nhà kinh doanh tốt 5,7 tỷ",43 m²,"Quận Thanh Xuân, Hà Nội"
,cần tiền trả nợ bán gấp,62.5 m²,"Huyện Bình Chánh, Hồ Chí Minh"
,CĂN HỘ MẶT TIỀN ĐƯỜNG NGUYỄN VĂN TIẾT THÀNH PHỐ THUẬN AN BÌNH DƯƠNG,60 m²,"Thị xã Thuận An, Bình Dương"
,"ĐẸP!!! Bán nhà mới 4 tầng Đồng Mai,Hà Đông,ô tô 7 chỗ vào nhà,kinh doanh,64m2, 2.5 tỷ",64 m²,"Quận Hà Đông, Hà Nội"
,"Bán nhà phân lô còn mới 4 tầng x 54m2, ngõ 5-6m,Bà Triệu,Hà Đông-4.85tỷ",54 m²,"Quận Hà Đông, Hà Nội"
,"HIẾM!!!Bán đất tặng nhà 3 tầng Nguyễn Khuyến,Văn Quán,ô tô vào nhà,kinh doanh,60m2,6tỷ",60 m²,"Quận Hà Đông, Hà Nội"
,"Quá hiếm!bán gấp 50m2 đất Dịch Vụ Yên Nghĩa,Hà Đông,đường vỉa hè 12m,hơn 2tỷ",50 m²,"Quận Hà Đông, Hà Nội"
,"HOT!!!Bán nhà C4 Ỷ La,Dương Nội,Hà Đông, Morning đỗ cửa, 30m2, 1.55 tỷ",30 m²,"Quận Hà Đông, Hà Nội"
,"Hot!!!Bán nhà cấp 4 mặt phố 19-5,Văn Quán,Hà Đông,gara ô tô,kinh doanh khủng,80m2, 15.3 tỷ",80 m²,"Quận Hà Đông, Hà Nội"
,"Hiếm!!!Bán nhà c4 Ngô Quyền,gần Cầu Am,Hà Đông, ô tô vào nhà, kinh doanh, 40m2, 3.4 tỷ",40 m²,"Quận Hà Đông, Hà Nội"
,"GIẢM CHÀO 100TR!!!Bán đất dịch vụ Yên Nghĩa,Hà Đông,kinh doanh,ô tô tránh,50m2, 3.2 tỷ",50 m²,"Quận Hà Đông, Hà Nội"
,"Rẻ!!! Bán nhà 2 tầng Đồng Mai,Hà Đông,ô tô 7 chỗ vào nhà,kinh doanh,64m2, 1.95 tỷ",64 m²,"Quận Hà Đông, Hà Nội"
,"Bán nhà 4 tầng mới đẹp Yên Nghĩa,Hà Đông,ngõ 3m,30.2m2, 2.2 tỷ",30 m²,"Quận Hà Đông, Hà Nội"
,Khu VIP HỒ ĐỀN LỪ 43m2 - Phân lô - vỉa hè rộng - KINH DOANH - chỉ 6.5 tỷ.,43 m²,"Quận Hoàng Mai, Hà Nội"
,CHÍNH CHỦ CẦN SANG NHƯỢNG LẠI VÀI LÔ ĐẤT TẠI TP. BIÊN HÒA.,100 m²,"Thị Xã Tân An, Long An"
,"Nhà Cách mạng tháng 8, phường 13, quận 10, 30m2 giá chỉ 4,2 tỷ",30 m²,"Quận 10, Hồ Chí Minh"
,"BÁN NHÀ HẺM XE TẢI BÌNH THẠNH 72M2, NỞ HẬU Ở NGAY CHỈ 7.690 TỶ",72 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"PHAN XÍCH LONG 5PN 15M RA MẶT TIỀN, FULL NỘI THẤT, MỚI VÀO Ở NGAY chỉ 5.299 TỶ",38.5 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"TÔI BÁN NHÀ BÌNH THẠNH HXH, 75M2, 5T GIÁ 8.7 TỶ CHỈ CÒN 7.690 TỶ TL",75 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,+ VIP NGÕ TÂN MAI - HOÀNG MAI.,34 m²,"Quận Hoàng Mai, Hà Nội"
,+ VIP NGÕ TÂN MAI - HOÀNG MAI.,34 m²,"Quận Hoàng Mai, Hà Nội"
,Bán nhà Mặt Phố 6 tầng - MT 5m6 - Tiện KD - Có tầng hầm để xe - Thang máy,132 m²,"Quận Ba Đình, Hà Nội"
,6.5 TỶ 40M 5 TẦNG Ở LUÔN ÔTÔ ĐỖ CỬA DÂN TRÍ CAO YÊN TĨNH PHỐ MAI DỊCH HIẾM NHÀ BÁN,60 m²,"Quận Cầu Giấy, Hà Nội"
,"BÁN KHU PHÂN LÔ ĐẤU GIÁ 2.55HA PHÚC DIỄN, Diện tích dự án: 20.220 m2, Sổ đỏ lâu dài, 0988.418.666",100 m²,"Quận Bắc Từ Liêm, Hà Nội"
,"Chỉ 4 tỷ có nhà hẻm ô tô đường Huỳnh Văn Bánh,Phú Nhuận",36 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"Kẹt tiền bán gấp HXH Lê Văn Sỹ,Q3,2 mặt tiền,chưa qua đầu tư",85 m²,"Quận 3, Hồ Chí Minh"
,Nhà 3 tầng siêu phẩm tại Tả Thanh Oai chỉ hơn 1 tỷ,35 m²,"Huyện Thanh Trì, Hà Nội"
,"Bán nhà MT 839 Bis Lê Hồng Phong, Q. 10 - 13x17m - giá 33.5 tỷ",100 m²,"Quận 10, Hồ Chí Minh"
,SIÊU PHẨM NHÀ ĐẤT THỔ CƯ ,52 m²,"Quận Thanh Xuân, Hà Nội"
,"Bán nhà lô góc Thịnh Quang, nhà mới ngõ thông 40m2X5. Về ở được luôn.",40 m²,"Quận Đống Đa, Hà Nội"
,"Bán đất mặt tiền Xuân Thới 9. Hốc Môn. 4,5 Tỷ",217 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,Bán nhà hẻm 15 Trương Quốc Dung - Phú Nhuận 3 tầng nhỉnh 2 tỷ.,24 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,Bán lô đất nền dự án KDC HỢP THÀNH - BÌNH PHƯỚC gần TT TP ĐỒNG XOÀI,210 m²,"Huyện Đồng Phú, Bình Phước"
,"Chỉ với 350tr/nền, Sổ Hồng Riêng, Công Chứng Ngay, Sở Hữu Liền Tay",100 m²,"Thành phố Biên Hòa, Đồng Nai"
,Bán nhà tuyến đường TÔ Hiệu,65 m²,"Quận Lê Chân, Hải Phòng"
,NHÀ ĐẸP - GIÁ HỢP LÝ - Ở NGAY.,42 m²,"Quận Thanh Xuân, Hà Nội"
,":100::100: THẬT DỄ DÀNG SỞ HỮU NHÀ PHỐ/NHÀ PHỐ THƯƠNG MẠI NGAY TẠI VỊ TRÍ KIM CƯƠNG CỦA PHƯỜNG CHÁNH NGHĨA, THỦ DẦU MỘT - BÌNH DƯƠNG",120 m²,"Thành phố Thủ Dầu Một, Bình Dương"
,"Bán căn hộ MT Lê Văn Quới Bình Tân 400TR , cách ngã tư Bốn Xã 500m",35 m²,"Quận Bình Tân, Hồ Chí Minh"
,"Chỉ 4 tỷ có nhà mới đẹp ngay mặt tiền đường Huỳnh Văn Bánh,Phú Nhuận",36 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"Căn hộ cao cấp kingston presidence 82m2 2PN quận Phú nhuận,tphcm ",82 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"Nhà phố liền kề Trung tâm Trường Thọ TP Thủ Đức đã định hình,HXH,SHR.",68 m²,"Quận Thủ Đức, Hồ Chí Minh"
,Đất đấu giá khu DG06 - Đông Nam - 82.5m2,82.5 m²,"Huyện Quốc Oai, Hà Nội"
,CĂN HỘ XANH LÀNG ĐẠI HỌC CHỈ TỪ 1.6TỶ,56 m²,"Thị xã Dĩ An, Bình Dương"
,"Nhà hẻm xe hơi ,giá chỉ 85 tr/m2,giá 4,7 tỷ",52 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"Bán 140 m2 đất thổ cư mặt tiền biển Nhân Trạch Gosabe City Quảng Bình,",140 m²,"Huyện Bố Trạch, Quảng Bình"
,NHÀ MỚI Đinh đức THIỆN - BìNH CHáNH chủ BáN 1TỶ370 Sổ RIÊNG ThƯƠNG LượNG,72 m²,"Huyện Cần Đước, Long An"
,"CHỦ CẦN BÁN GẤP NHÀ 90m2 x5 TẦNG MẶT PHỐ TRẦN KIM XUYẾN, QUẬN CẦU GIẤY, GIÁ 31 TỶ.",90 m²,"Quận Cầu Giấy, Hà Nội"
,Sở hữu căn hộ quận 2 chỉ với 300 triệu,84 m²,"Quận 2, Hồ Chí Minh"
,Đất nên Đồng Phú đầu tư chỉ từ 250tr đến 300tr sinh lợi nhuận trong 4 tháng,100 m²,"Huyện Đồng Phú, Bình Phước"
,"Bán nhà đường Nguyễn Biểu, Quận 5, 2 lầu, 30m2 giá chỉ 5.5 tỷ, thương lượng tốt.",30 m²,"Quận 5, Hồ Chí Minh"
,DREAMHOMES Biệt Thự Quảng Bình,160 m²,"Thành Phố Đồng Hới, Quảng Bình"
,"CHÍNH CHỦ BÁN NHÀ ĐỘI CẤNCỰC HIẾM, CỰC CHẤT, 4 MẶT THOÁNG, ĐÚNG VẬY, THOÁNG 4 MẶT.",46 m²,"Quận Ba Đình, Hà Nội"
,Đất Nền Ngay KCN Becamex Bình Phước chưa qua đầu tư tiềm năng phát triển ,250 m²,"Chơn Thành, Bình Phước"
,Bán nhà 110/12 Đường số 8 Phường 11 Gò Vấp 01 trệt 04 lầu HXH 0945035438,KXĐ,"Quận Gò Vấp, Hồ Chí Minh"
,Hỗ trợ thanh toán 2 tỷ giá bán lô mặt tiền 150m2 đường 7m5 dự án Đà Nẵng Pearl,150 m²,"Quận Ngũ Hành Sơn, Đà Nẵng"
,"Chính Chủ Lâu Đời Bán Gấp Căn Nhà MT Quận Tân Phú.Giá 5,5 TỶ/70M2  ",70 m²,"Quận Tân Phú, Hồ Chí Minh"
,"Cần bán gấp lô đất KDC Tân Kim MT Quốc Lộ 50, xã Tân Kim, Cần Giuộc Long An, SHR, cc ngay",97 m²,"Huyện Cần Giuộc, Long An"
,"Ngã Tư Sở - Royal City - 40m2 x 5 tầng - MT 4m - 3,5 tỷ (Thương lượng)",40 m²,"Quận Thanh Xuân, Hà Nội"
,QUÁ RẼ CHO MỘT CUỘC TÌNH Ở HỘI AN. CHỈ 790 TRIỆU SỞ HỮU NGAY CĂN HỘ SHANTIRA 100% VIEW  BIỂN AN BÀNG,60 m²,"Thành phố Hội An, Quảng Nam"
,"TÔI CẦN BÁN GẤP NHÀ HXH, PHÚ NHUẬN 56M2 MỚI VÀO Ờ NGAY CHỈ 6.1 TỶ",55 m²,"Quận Phú Nhuận, Hồ Chí Minh"
,"HẺM XE HƠI BÌNH THẠNH, NỞ HẬU, 74M2, SÁT MẶT TIỀN CHỈ 7.650 TỶ CÒN TL",74 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"SIÊU HOT NHÀ BÌNH THẠNH 70M2, HẺM XE TẢI MỚI ĐẸP Ở NGAY CHỈ 7.6 TỶ",70 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"SIÊU HOT MẶT TIỀN VẠN KIẾP, KD, 50M2, NGANG 8 BÌNH THẠNH CHỈ 13.799 TỶ",50 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"BÁN NHÀ KV VIP QUẬN 3, 65M2, NGANG 5M, 4 TẦNG MỚI ĐẸP GIÁ chỉ 7.299 TỶ TL",65 m²,"Quận 3, Hồ Chí Minh"
,"HẺM XE HƠI ĐỖ CỬA TÂN BÌNH 50M2, NGANG 7M, 4 TẦNG BTCT 6.190 TỶ",50 m²,"Quận Tân Bình, Hồ Chí Minh"
, TÔI CẦN BÁN NHÀ BTCT 4T HXH ĐỖ NGUYỄN VĂN ĐẬU BÌNH THẠNH 2.89 TỶ,25 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"NHÀ ĐẸP GIÁ RẺ HẺM XE HƠI BÌNH THẠNH, GẦN 50M2, MỚI VÀO Ở NGAY CHỈ 4510 TỶ",48 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"Chính chủ bán gấp lô đất vườn trồng xoài giá chỉ 280tr/sào ở Định Quán , Đồng Nai.",1000 m²,"Quận 2, Hồ Chí Minh"
,"Chính chủ bán gấp lô đất vườn trồng xoài giá chỉ 280tr/sào ở Định Quán , Đồng Nai.",1000 m²,"Quận 2, Hồ Chí Minh"
,"Chủ nhà kẹt tiền nên cần bán nhanh lô đất 1100m2 giá 470tr ở cạnh kcn Định Quán, Đồng Nai.",1100 m²,"Quận Bình Thạnh, Hồ Chí Minh"
,"Bán nhà đất Tân Thới Nhì 8, Hốc Môn, 947m2, 43 Tỷ",1000 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Gấp bán nhà Tôn Đức Thắng, 40m2x5tầng, MT5m",40 m²,"Quận Đống Đa, Hà Nội"
,THỜI CƠ VÀNG SỞ HỮU MẢNH ĐẤT ‘’VÀNG‘’,6000 m²,"Huyện Bắc Bình, Bình Thuận"
,BÁN ĐẤT CÁCH MẶT ĐƯỜNG NGUYỄN THÁI HỌC 200m – TRUNG TÂM TP.BẢO LỘC,214 m²,"Thị Xã Bảo Lộc, Lâm Đồng"
,Mua là đã LÃI NGAY. Dòng tiền 6000USD/tháng. Gía thấp hơn 20% cùng khu vực.,212 m²,"Quận Tây Hồ, Hà Nội"
,***Bán Đất Nền KHU ĐÔ THỊ KING BAY – 0911186161***,125 m²,"Huyện Nhơn Trạch, Đồng Nai"
,NHÀ PHỐ VĨNH HƯNG 40 M2 CHỈ 1.8 TỶ,40 m²,"Quận Hoàng Mai, Hà Nội"
,450m2 đất thổ sổ hồng - Cần Giuộc - cách chợ Bình Chánh 8km,450 m²,"Huyện Cần Giuộc, Long An"
,"Nhà mới,oto đỗ,MT rộng6m,5T, 45m2, giá nhỉnh 3 tỷ, ngay phúc lợi-LB",45 m²,"Quận Long Biên, Hà Nội"
,"Bán Biệt Thự Sân Vườn Nguyễn Thị Nê , Phú Hòa Đông , Củ Chi , 2200m2 . 13,5 Tỷ",2200 m²,"Huyện Củ Chi, Hồ Chí Minh"
,"Hot Bán nhà đất Mặt Tiền Tương lai Đỗ Văn Dậy . Tân Hiệp . Hốc Môn . 793m2 . 11,9 TỶ ",793 m²,"Huyện Hóc Môn, Hồ Chí Minh"
,"Bán nhà hẻm ĐHT 15 . P Đông Hưng Thuận, Quận 12 , 95m2 . 4,5 Tỷ",95 m²,"Quận 12, Hồ Chí Minh"
,"Bán gấp Nhà Đường Số 3 Phạm Văn Chiêu , P9 , Gò Vấp . 6,45 Tỷ",99 m²,"Quận Gò Vấp, Hồ Chí Minh"
,"Bán căn nhà mặt tiền Đường số 8, P. Bình Hưng Hoà B, Q Bình Tân. Giá sốc 4,6 tỷ",100 m²,"Quận Bình Tân, Hồ Chí Minh"
,"Nhà đẹp bán gấp, 4,5x6m, giá cực thơm 3,4 tỷ! Ngay P10, Q. Tân Bình",30 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Nhà đẹp bán gấp, 4,5x6m, giá cực thơm 3,4 tỷ! Ngay P10, Q. Tân Bình",30 m²,"Quận Tân Bình, Hồ Chí Minh"
,"Biệt thự KĐT Dương Nội, Hà Đông chỉ từ 80tr/m2 – Tặng ngay 20 cây vàng khi liên hệ cọc căn sớm",180 m²,"Quận Hà Đông, Hà Nội"
,Chung cư giáp công viên xanh 120ha tại Hà Đông,65 m²,"Quận Hà Đông, Hà Nội"
,"Bán đất 2 mặt tiền QL1A , sổ riêng , full tc, xây dựng tự do ",100 m²,"Trảng Bom, Đồng Nai"
,"Bán lô đất ngay biển Phan Rí Cửa hơn 1,3ha Giá chỉ 1 tỷ 162 triệu đồng",13673 m²,"Huyện Bắc Bình, Bình Thuận"
,hỗ trợ mua nhà mua đất nhận ngay sổ hồng,280 m²,"Thành Phố Đồng Hới, Quảng Bình"
,ĐẤT THỔ CƯ GIÁ ĐẦU TƯ f0 SIÊU LỢI NHUẬN CHO CÁC NHÀ ĐẦU TƯ.,301 m²,"Thị Xã Bảo Lộc, Lâm Đồng"
,Căn hộ cao cấp Quận 2 đã bàn giao 85m2 2pn2wc. Giá chỉ 3tỷ LH 0931781092,85 m²,"Quận 2, Hồ Chí Minh"
,BÁN ĐÁT DỰ ÁN ONE WOLD GIÁ CHỈ DƯƠI 1TY7XXXX,90 m²,"Huyện Điện Bàn, Quảng Nam"
,"BÁN NHÀ HXH , TRẦN VĂN QUANG, TÂN BÌNH. 1 TRỆT, 2 LẦU, 2 PHÒNG NGỦ. 3.3 TỶ ",27 m²,"Quận Tân Bình, Hồ Chí Minh"
,"CHÍNH CHỦ BÁN NHÀ KHU VỰC KHUẤT DUY TIẾN 8,8 TỶ",48 m²,"Quận Thanh Xuân, Hà Nội"
,"đất nghỉ dưỡng,dự án paradise hills,xã đamb'ri,tp bảo lộc",200 m²,"Thị Xã Bảo Lộc, Lâm Đồng"
,"Nhà Đẹp Khu Hà Đông Sát Trường Học, Gần Bệnh Viện,Gần Chợ Nhỉnh 8 tỷ. ",50 m²,"Quận Hà Đông, Hà Nội"
,3.43*13.5m/nở hậu 2lầu ST hẻm 154 Âu Dương Lân Phường 3 Quận 8,46 m²,"Quận 8, Hồ Chí Minh"
,"Mua nhanh!!!Bán nhà cấp4, ô tô vào nhà, kinh doanh, Phú Lương, Hà Đông, 54m2, 3.4 tỷ",54 m²,"Quận Hà Đông, Hà Nội"
,"Bán nhà cấp 4 Tô Hiến Thành,Văn Quán,ô tô vào nhà,kinh doanh-văn phòng, 94m2, MT6m, 8.1 tỷ",94 m²,"Quận Hà Đông, Hà Nội"
,"Đất Phú Mỹ, 3 mặt tiền đường, giá 8 triệu/m2. SHR.",180 m²,"Huyện Tân Thành, Bà Rịa Vũng Tàu"
,Bán căn hộ Felisa Riverside sát cầu Nguyễn Tri Phương-99 Bình Đông P11 Q8,55 m²,"Quận 8, Hồ Chí Minh"
,"Nhà đẹp Thụy Khuê, ngõ nông thông Trích Sài, 36m2 giá hơn 2 tỷ.",36 m²,"Quận Tây Hồ, Hà Nội"
,Nhà 4*13.5m/ôtô 7 chổ đậu trong nhà Hưng Phú Phường 10 Quận 8,54 m²,"Quận 8, Hồ Chí Minh"
,"Nhà đẹp Nguyễn Đình Hoàn, ngõ thông, 38m2 4 ngủ giá hơn 3 tỷ",38 m²,"Quận Cầu Giấy, Hà Nội"
,"5,2 tỷ có ngay nhà phố biển 2 mặt tiền tại Thanh Long Bay và cam kết sinh lời 12%",108 m²,"Huyện Hàm Thuận Nam, Bình Thuận"
,bán đất bảo lộc 300mm2 giá 600 triệu,300 m²,"Thị Xã Bảo Lộc, Lâm Đồng"
,"Bán nhà Kim Mã, Tặng nội thất đẹp, ngõ nông, thông, 3 ngủ, 3 tỷ",30 m²,"Quận Ba Đình, Hà Nội"
,,48 m²,"Huyện Thanh Miện, Hải Dương"
,"Nhà đẹp Hoàng Quốc Việt, 4 ngủ, Lô góc 42m2 giá hơn 3 tỷ",42 m²,"Quận Cầu Giấy, Hà Nội"
,"Nhà 2 lầu xe ô tô đậu trước nhà, MT hẻm 90 Âu Dương Lân P3 Q8",KXĐ,"Quận 8, Hồ Chí Minh"
,"Bán nhà đẹp Kim Giang, Thanh Xuân 39M2 5T ở ngay ô tô qua chỉ 2.75 tỷ",39 m²,"Huyện Thanh Trì, Hà Nội"
,"Đất chính chủ, mặt tiền thành phố Thuận An, bình dương ",100 m²,"Thị xã Thuận An, Bình Dương"
,Bán nhà: Dịch Vọng Nhỉnh 3 tỷ 33m2*5 tầng. An sinh đỉnh.,33 m²,"Quận Cầu Giấy, Hà Nội"
,"Bán đất gần khu công nghiệp Minh Hưng, Chơn Thành, Bình Phước. Giá chỉ 455 triệu.",150 m²,"Chơn Thành, Bình Phước"
,"Bán đất gần khu công nghiệp Minh Hưng, Chơn Thành, Bình Phước. Giá chỉ 455 triệu.",150 m²,"Chơn Thành, Bình Phước"
,"Nhà Mỹ Đình, ngõ thông rộng, ôtô qua nhà, nhà mới ở Ngay 40m2 5T 4,2 tỷ",40 m²,"Quận Nam Từ Liêm, Hà Nội"
,Đất nền Đức Hòa Long An mặt tiền đường quốc lộ liền kề Vinhomes giá 850tr/nền (100%),125 m²,"Huyện Đức Hòa, Long An"
,"Bán đất khu đô thị mới , quận Bình Tân, 4x22.5m",90 m²,"Quận Bình Tân, Hồ Chí Minh"
,"Gấp! Bán siêu gấp nhà Nguyễn Chí Thanh, 111m2, chỉ 8,9 tỷ nhà siêu đẹp, Kinh Doanh, ô tô qua",111 m²,"Quận Đống Đa, Hà Nội"
,Đất Tả Thanh Oai giá 20triệu/m - Còn duy nhất 1 Thửa,35.2 m²,"Huyện Thanh Trì, Hà Nội"
,Bán đất nền dự án KÓY_CITY_BEAT Thái Nguyên,90 m²,"Thành Phố Thái Nguyên, Thái Nguyên"
,"Thổ cư Hà Đông, Hà Nội, 600 triệu , cách đường thông 20m, ô tô vào nhà . ",35 m²,"Quận Hà Đông, Hà Nội"
