id,href,title,img,price,area,location,content,date
26385362,https://batdongsan.com.vn/ban-nha-rieng-phuong-binh-chuan/ban-1-tret-1-lau-2-phong-ngu-dien-tich-50m2-gia-chi-600tr-lien-he-0967145249-pr26385362,"Bán nhà bình chuẩn 1 trệt 1 lầu,2 phòng ngủ diện tích : 50m2 . giá chỉ 600tr liên hệ :0967145***",https://file4.batdongsan.com.vn/crop/350x232/2020/07/24/rLo4Hopt/20200724103235-c288_wm.jpg,,50 m²,"Thuận An, Bình Dương","cần tiền kinh doanh gấp nên tôi muốn bán lại vài căn nhà Bình Chuẩn,Thuận An, Bình Dương - nhà bình chuẩn 18, 1 triệt 1 lầu 2 phòng ngủ…. giá chỉ 600 triệu - nhà bình chuẩn 17 mới xây xong 1 trệt",11/21/2020 11:47:34
27878917,https://batdongsan.com.vn/ban-dat-pho-le-trong-tan-phuong-dinh-cong/chinh-chu-ban-quan-hoang-mai-hem-o-to-tang-ngay-nha-co-san-60m2-lh-0913363967-pr27878917,Chính chủ bán đất Quận Hoàng Mai hẻm ô tô tặng ngay nhà có sân 60m2. LH: 0913363***,https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/Fpwov1jm/20201121104738-ef8b_wm.jpg,,112 m²,"Hoàng Mai, Hà Nội","Quá hấp dẫn: Chính chủ bán đất tặng ngay nhà có sân 60m2 (hiện đang ở) hẻm ô tô tại 192/173/12 Phố Lê trọng Tấn, Phường Định Công, Quận Hoàng Mai Hà Nội. Diện tích: 112m2 (ngang 4m x dài 28m). Giá bá",11/21/2020 10:49:23
27420935,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huu-tho-phuong-tan-hung-14-prj-sunrise-city/ban-ch-dien-tich-1pn-2pn-3pn-4pn-56m2-162m2-so-2-5-6-35-ty-hot-106m2-gia-3ty9-pr27420935,"Bán CH Sunrise City diện tích 1PN, 2PN, 3PN, 4PN 56m2 -162m2, hot 162m2 6ty; 106m2 giá 3tỷ9",https://file4.batdongsan.com.vn/crop/350x232/2020/10/15/20201015095934-8fd7_wm.jpg,,106 m²,"Quận 7, Hồ Chí Minh","Khu North: Quản lý 100% căn hộ Sunrise City, call: 0901899***. + 53m2 - 56m2 giá 2.5 - 2,7 tỷ. Hỗ trợ vay ngân hàng 70% giá trị căn hộ trong 20 năm. + 65m2 giá 3,3 tỷ. + 77m2 giá 3,45 - 3.6 tỷ. +",11/21/2020 10:36:15
27878009,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-bo-bao-tan-thang-phuong-son-ky-prj-celadon-city/-ban-q-phu-2pn-2wc-co-so-ng-gia-re-nhat-2-45-ty-lh-0949-55-11-99-pr27878009,"Cần bán căn hộ Celadon City Q.Tân Phú, 2PN, 2WC, Có Sổ Hồng, Giá rẻ nhất 2.45 tỷ, Lh 0949.55.1*.**",https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121100331-22f5_wm.jpg,,68 m²,"Tân Phú, Hồ Chí Minh","*Cam kết 100% có hàng tại Celadon City phường Sơn Kỳ, quận Tân Phú* - Khu Ruby Celadon City, Ở ngay, đã có sổ hồng + 2PN, 2WC, 68m2, Có sổ hồng, View nội khu, Nội thất cơ bản, giá 2.45 tỷ, rẻ nh",11/21/2020 10:05:18
23639205,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phan-van-hon-phuong-tan-thoi-nhat-1-prj-prosper-plaza/nhan-ky-gui-mua-ban-c-thue-va-spuse-lh-0909463115-pr23639205,Bán căn hộ Prosper Plaza. LH: 0906221***,https://file4.batdongsan.com.vn/crop/350x232/2019/11/27/20191127145010-9fe9_wm.jpg,,65 m²,"Quận 12, Hồ Chí Minh","Nhận mua bán ký gửi căn hộ - shophouse Prosper Plaza - thủ tục hồ sơ chuyển nhượng nhanh chóng, mau lẹ. Địa chỉ liên hệ: Phương Nam Land & Coffee - CS1, CC Prosper Plaza. - Chung cư thương mại Pro",11/21/2020 09:59:36
27396267,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huu-canh-phuong-22-prj-saigon-pearl/chuyen-ban-du-loai-dien-tich-2pn-gia-tu-4-3-ty-3p-gia-tu-6-ty-4pn-gia-tu-9-ty-pr27396267,"Chuyên bán căn hộ Saigon Pearl giá tốt nhất: 2PN giá từ 4,4 tỷ - 3PN giá từ 6 tỷ - 4PN giá từ 9 tỷ",https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121092911-ddc9_wm.jpg,,90 m²,"Bình Thạnh, Hồ Chí Minh",Phòng kinh doanh chuyên bán căn hộ Saigon Pearl: 2PN - 3PN - 4PN - Penthouse - Duplex giá tốt nhất thị trường. - Xem nhà 24/7 hotline: Mr Dương. - Giúp anh/chị thương giá lượng trực tiếp,11/21/2020 09:28:05
27877099,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ham-nghi-thi-tran-cau-dien-prj-vinhomes-gardenia/ban-pho-dep-re-t-du-an-lh-0918331236-pr27877099,"Bán nhà phố, liền kề , biệt thự  đẹp , rẻ nhất dự án vinhomes gardenia. Lh: 0918331***",https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121091424-aee6_wm.jpg,,93 m²,"Nam Từ Liêm, Hà Nội","Biệt thự, liền kề, nhà phố Vinhomes Gardenia cập nhật đến ngày 20/11/2020. * Shophouse vừa ở, vừa kinh doanh, cho thuê: - Căn shophouse dãy B6 diện tích đất 93m2, mặt tiền 6m, xây 5 tầng, đã ho",11/21/2020 09:26:37
27876435,https://batdongsan.com.vn/ban-dat-duong-nguyen-trung-truc-xa-bai-thom/-mat-tien-ngang-62m-o-truc-pr27876435,ĐẤT MẶT TIỀN NGANG 62M Ở NGUYỄN TRUNG TRỰC,https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121084146-7a02_wm.jpg,,24138 m²,"Phú Quốc, Kiên Giang","Cần bán Đất mặt tiền NGUYỄN TRUNG TRỰC Vị trí: Ấp Xóm Mới, Bãi Thơm, Phú Quốc Mặt tiền ngang 62,54m đường Nguyễn Trung Trực Diện tích 24137,6m Quy hoạch ONT Không dính dự án, bao tranh chấp- Chủ có nhu cầu bán gấp nên ra giá rất rẻ - Không tiếp báo và môi giới nhé xin lỗi nhiều",11/21/2020 09:15:59
27876525,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-van-phuc-1-prj-him-lam-van-phuc/mua-truc-tiep-pkd-land-ck-den-6-tang-1-cay-g-pkd-096-337-3317-pr27876525,"MUA HIM LAM VẠN PHÚC TRỰC TIẾP PKD HIM LAM LAND + CK ĐẾN 6%, TẶNG 1 CÂY VÀNG, PKD 096.337.3***",https://file4.batdongsan.com.vn/crop/350x232/2020/11/21/20201121085554-600d_wm.jpg,,97 m²,"Hà Đông, Hà Nội","PKD: 096.337.3***. Mail: sang.phan@himlamland.com - Thông tin chi tiết dự án: + Phát triển dự án: Công ty Cổ phần kinh doanh địa ốc Him Lam. + Quy mô: 7,1 ha và mật độ xây dựng chỉ 35%. + Bao gồ",11/21/2020 09:00:45
27730483,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-xien-phuong-long-thanh-my-prj-vinhomes-grand-park-quan-9/ban-re-nhat-1pn-1-2-ty-2pn-1-65-ty-3pn-gia-2-50-ty-0977771919-pr27730483,"BÁN VINHOMES GRAND PARK, RẺ NHẤT, 1PN 1,2 TỶ, 2PN 1,65 TỶ, 3PN, GIÁ 2.50 TỶ, 0977771***",https://file4.batdongsan.com.vn/crop/350x232/2020/11/10/20201110084526-1f10_wm.jpg,,Không xác định,"Quận 9, Hồ Chí Minh",Hơn 800 CH và 30 căn shophouse bán và cho thuê đáp ứng mọi nhu cầu về an cư và kinh doanh của khách hàng bán toà S6 và S10 giá gốc chủ đầu tư. Studio (diện tích 30 - 35m2) giá gốc 900 triệu - 1.3 tỷ,11/21/2020 04:44:53
